key,id_now,ff_x,ff_y,fw_x,fw_y,fa_x,fa_y,t_x,t_y,t_xn,t_yn,t_dir,ff_dir
174,64,0,1,0,0,0,0,0,1,0,1,3,3
174,65,0,1,0,0,0,0,0,2,0,1,3,3
177,65,0,1,0,0,0,0,1,1,0.707106781186547,0.707106781186547,2,3
174,66,0,1,0,0,0,0,0,1,0,1,3,3
177,66,0,1,0,0,0,0,0,1,0,1,3,3
174,67,0,1,0,0,0,0,0,1,0,1,3,3
177,67,0,1,0,0,0,0,0,1,0,1,3,3
173,68,0,1,0,0,0,0,0,1,0,1,3,3
174,68,0,1,0,0,3.16115689231083,2.10743792820722,1,1,0.707106781186547,0.707106781186547,2,3
175,68,0,1,0,0,0,0,0,1,0,1,3,3
177,68,0,1,0,0,-2.27419595499302e-15,1.56801527756517e-15,0,1,0,1,3,3
173,69,0,1,0,0,0,0,0,1,0,1,3,3
174,69,0,1,0,0,1.05371896410361,-3.85396000379754e-15,0,2,0,1,3,3
175,69,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
177,69,0,1,0,0,-2.27419595499302e-15,1.56801527756517e-15,0,1,0,1,3,3
4,70,0,1,0,0,0,0,0,1,0,1,3,3
173,70,0,1,0,0,0,0,1,1,0.707106781186547,0.707106781186547,2,3
174,70,0,1,0,0,-4.86347084114128e-16,-1.89760818596901e-15,1,1,0.707106781186547,0.707106781186547,2,3
175,70,0,1,0,0,-2.27419595499302e-15,1.56801527756517e-15,0,2,0,1,3,3
177,70,0,1,0,0,-4.72667831346921e-17,5.80170687771551e-15,0,1,0,1,3,3
173,71,0,1,0,0,0,0,0,1,0,1,3,3
174,71,0,1,0,0,-4.86347084114128e-16,-1.89760818596901e-15,0,1,0,1,3,3
175,71,0,1,0,0,-1.343157412362e-15,7.17697686091311e-15,-1,1,-0.707106781186547,0.707106781186547,4,3
177,71,0,1,0,0,-3.77769841170137e-15,-3.74140020824617e-15,0,1,0,1,3,3
4,72,0,1,0,0,0,0,0,1,0,1,3,3
173,72,0,1,0,0,0,0,1,1,0.707106781186547,0.707106781186547,2,3
174,72,0,1,0,0,-4.86347084114128e-16,-1.89760818596901e-15,1,2,0.447213595499958,0.894427190999916,3,3
175,72,0,1,0,0,-1.10641093157876e-15,1.08695419124007e-15,0,1,0,1,3,3
176,72,0,1,0,0,0,0,0,1,0,1,3,3
177,72,0,1,0,0,1.13078261211657e-16,-9.21116073840386e-15,0,1,0,1,3,3
4,73,0,1,0,0,0,0,0,1,0,1,3,3
172,73,0,1,0,0,0,0,0,1,0,1,3,3
173,73,0,1,0,0,0,0,0,2,0,1,3,3
174,73,0,1,0,0,-9.95142983302641e-17,-3.25131950801918e-15,0,1,0,1,3,3
175,73,0,1,0,0,-1.10641093157876e-15,1.08695419124007e-15,0,1,0,1,3,3
176,73,0,1,0,0,-1.36744013253942e-15,3.15796771448933e-15,0,1,0,1,3,3
177,73,0,1,0,0,1.13078261211657e-16,-9.21116073840386e-15,0,2,0,1,3,3
4,74,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
172,74,0,1,0,0,0,0,1,2,0.447213595499958,0.894427190999916,3,3
173,74,0,1,0,0,0,0,1,1,0.707106781186547,0.707106781186547,2,3
174,74,0,1,0,0,-1.01520639587724e-15,-1.76861960814375e-15,0,1,0,1,3,3
175,74,0,1,0,0,-1.10641093157876e-15,1.08695419124007e-15,0,1,0,1,3,3
176,74,0,1,0,0,-1.36744013253942e-15,3.15796771448933e-15,0,2,0,1,3,3
