key,id_now,ff_x,ff_y,fw_x,fw_y,fa_x,fa_y,t_x,t_y,t_xn,t_yn,t_dir,ff_dir
179,72,0,1,0,0,0,0,0,1,0,1,3,3
179,73,0,1,0,0,0,0,0,1,0,1,3,3
179,74,0,1,0,0,0,0,0,2,0,1,3,3
179,75,0,1,0,0,0,0,0,1,0,1,3,3
178,76,0,1,0,0,0,0,0,1,0,1,3,3
179,76,0,1,0,0,0,0,1,1,0.707106781186547,0.707106781186547,2,3
178,77,0,1,0,0,0,0,0,1,0,1,3,3
179,77,0,1,0,0,0,0,0,2,0,1,3,3
178,78,0,1,0,0,0,0,0,1,0,1,3,3
179,78,0,1,0,0,0,0,1,1,0.707106781186547,0.707106781186547,2,3
8,79,0,1,0,0,0,0,0,1,0,1,3,3
177,79,0,1,0,0,0,0,1,1,0.707106781186547,0.707106781186547,2,3
178,79,0,1,0,0,-1.57898385724467e-15,2.11543724705244e-16,0,1,0,1,3,3
179,79,0,1,0,0,2.90022399643011e-16,5.13040948676972e-15,0,2,0,1,3,3
8,80,0,1,0,0,0,0,0,1,0,1,3,3
177,80,0,1,0,0,0,0,0,0,0,0,0,3
178,80,0,1,0,0,3.16115689231083,1.36744013253942e-15,0,2,0,1,3,3
179,80,0,1,0,0,1.10409364732137e-15,6.28628098911284e-16,1,1,0.707106781186547,0.707106781186547,2,3
1,81,0,1,0,0,0,0,0,1,0,1,3,3
8,81,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
176,81,0,1,0,0,0,0,0,1,0,1,3,3
177,81,0,1,0,0,0,0,0,1,0,1,3,3
178,81,0,1,0,0,1.05371896410361,-2.46235903263954e-15,0,1,0,1,3,3
179,81,0,1,0,0,-8.81062754168311e-17,1.59476192651801e-15,0,1,0,1,3,3
1,82,0,1,0,0,0,0,1,1,0.707106781186547,0.707106781186547,2,3
8,82,0,1,0,0,0,0,0,1,0,1,3,3
176,82,0,1,0,0,0,0,0,1,0,1,3,3
177,82,0,1,0,0,0,0,1,1,0.707106781186547,0.707106781186547,2,3
178,82,0,1,0,0,1.05371896410361,-2.46235903263954e-15,0,1,0,1,3,3
179,82,0,1,0,0,-8.81062754168311e-17,1.59476192651801e-15,1,2,0.447213595499958,0.894427190999916,3,3
1,83,0,1,0,0,0,0,0,1,0,1,3,3
8,83,0,1,0,0,0,0,0,1,0,1,3,3
176,83,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
177,83,0,1,0,0,0,0,0,1,0,1,3,3
178,83,0,1,0,0,3.16115689231083,2.10743792820722,0,1,0,1,3,3
179,83,0,1,0,0,3.49044550435047e-16,2.69087907866317e-15,0,1,0,1,3,3
1,84,0,1,0,0,0,0,0,1,0,1,3,3
8,84,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
176,84,0,1,0,0,0,0,0,2,0,1,3,3
177,84,0,1,0,0,0,0,0,1,0,1,3,3
178,84,0,1,0,0,3.16115689231083,2.10743792820722,-1,1,-0.707106781186547,0.707106781186547,4,3
179,84,0,1,0,0,3.49044550435047e-16,2.69087907866317e-15,1,1,0.707106781186547,0.707106781186547,2,3
1,85,0,1,0,0,0,0,0,1,0,1,3,3
8,85,0,1,0,0,0,0,0,1,0,1,3,3
176,85,0,1,0,0,0,0,0,1,0,1,3,3
177,85,0,1,0,0,0,0,0,1,0,1,3,3
178,85,0,1,0,0,4.21487585641444,4.21487585641443,0,1,0,1,3,3
179,85,0,1,0,0,1.87984303376714e-17,3.11356994397221e-15,0,2,0,1,3,3
1,86,0,1,0,0,0,0,0,1,0,1,3,3
8,86,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
176,86,0,1,0,0,0,0,0,1,0,1,3,3
177,86,0,1,0,0,0,0,1,1,0.707106781186547,0.707106781186547,2,3
178,86,0,1,0,0,4.21487585641444,4.21487585641443,0,2,0,1,3,3
179,86,0,1,0,0,-2.7944900997878e-17,2.41567913515284e-15,1,1,0.707106781186547,0.707106781186547,2,3
1,87,0,1,0,0,0,0,1,1,0.707106781186547,0.707106781186547,2,3
8,87,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
12,87,0,1,0,0,-4.63464360537013e-16,-2.46478343029561e-15,0,1,0,1,3,3
176,87,0,1,0,0,0,0,0,1,0,1,3,3
177,87,0,1,0,0,0,0,0,1,0,1,3,3
178,87,0,1,0,0,2.10743792820722,5.26859482051805,0,1,0,1,3,3
179,87,0,1,0,0,1.025318373505e-15,2.28516453467251e-15,0,1,0,1,3,3
1,88,0,1,0,0,0,0,0,1,0,1,3,3
8,88,0,1,0,0,0,0,-1,2,-0.447213595499958,0.894427190999916,3,3
12,88,0,1,0,0,-7.71129406353319e-16,-1.05371896410361,0,1,0,1,3,3
176,88,0,1,0,0,0,0,-1,2,-0.447213595499958,0.894427190999916,3,3
177,88,0,1,0,0,0,0,0,1,0,1,3,3
178,88,0,1,0,0,2.10743792820722,5.26859482051805,0,1,0,1,3,3
179,88,0,1,0,0,1.025318373505e-15,2.28516453467251e-15,0,2,0,1,3,3
1,89,0,1,0,0,0,0,0,2,0,1,3,3
8,89,0,1,0,0,0,0,0,1,0,1,3,3
12,89,0,1,0,0,-9.95384509491351e-16,-1.79336776240223e-15,0,1,0,1,3,3
176,89,0,1,0,0,0,0,0,1,0,1,3,3
177,89,0,1,0,0,-1.9463083723571e-16,-5.39233015290439e-16,0,1,0,1,3,3
178,89,0,1,0,0,2.10743792820722,5.26859482051805,1,1,0.707106781186547,0.707106781186547,2,3
179,89,0,1,0,0,-2.0057514502575e-16,1.99619043271396e-15,1,1,0.707106781186547,0.707106781186547,2,3
1,90,0,1,0,0,0,0,1,1,0.707106781186547,0.707106781186547,2,3
8,90,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
12,90,0,1,0,0,-9.95384509491351e-16,-1.79336776240223e-15,0,1,0,1,3,3
176,90,0,1,0,0,0,0,0,1,0,1,3,3
177,90,0,1,0,0,-1.9463083723571e-16,-5.39233015290439e-16,0,1,0,1,3,3
178,90,0,1,0,0,-2.22044604925031e-15,3.16115689231083,0,1,0,1,3,3
179,90,0,1,0,0,-2.0057514502575e-16,3.18042832564746e-15,0,2,0,1,3,3
1,91,0,1,0,0,0,0,0,1,0,1,3,3
8,91,0,1,0,0,0,0,0,1,0,1,3,3
12,91,0,1,0,0,-7.81170205497768e-16,1.21089639145388e-15,-1,2,-0.447213595499958,0.894427190999916,3,3
176,91,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
177,91,0,1,0,0,-1.9463083723571e-16,-5.39233015290439e-16,0,1,0,1,3,3
178,91,0,1,0,0,-2.22044604925031e-15,3.16115689231083,0,2,0,1,3,3
179,91,0,1,0,0,1.10066491583944e-15,1.26677757117393e-15,0,1,0,1,3,3
1,92,0,1,0,0,0,0,0,1,0,1,3,3
8,92,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
12,92,0,1,0,0,-4.34382087607553e-16,-2.10743792820722,0,1,0,1,3,3
176,92,0,1,0,0,0,0,0,1,0,1,3,3
177,92,0,1,0,0,-1.99893257763384e-15,1.05771862352622e-16,0,1,0,1,3,3
178,92,0,1,0,0,-3.16115689231083,3.16115689231083,0,1,0,1,3,3
179,92,0,1,0,0,2.37944436554649e-15,3.28620018800009e-15,1,1,0.707106781186547,0.707106781186547,2,3
1,93,0,1,0,0,0,0,0,1,0,1,3,3
8,93,0,1,0,0,0,0,0,1,0,1,3,3
12,93,0,1,0,0,2.87380613298937e-16,-3.16115689231083,0,1,0,1,3,3
175,93,0,1,0,0,0,0,0,1,0,1,3,3
176,93,0,1,0,0,-3.64516746820537e-16,-4.69774576167613e-16,0,2,0,1,3,3
177,93,0,1,0,0,-1.99893257763384e-15,1.05771862352622e-16,0,1,0,1,3,3
178,93,0,1,0,0,-3.16115689231083,3.16115689231083,0,1,0,1,3,3
179,93,0,1,0,0,-2.75263377359177e-16,5.19267504377923e-15,0,2,0,1,3,3
1,94,0,1,0,0,0,0,0,1,0,1,3,3
8,94,0,1,0,0,0,0,0,1,0,1,3,3
12,94,0,1,0,0,2.87380613298937e-16,-3.16115689231083,0,1,0,1,3,3
175,94,0,1,0,0,0,0,0,1,0,1,3,3
176,94,0,1,0,0,-6.11931167334925e-16,-8.29936961682858e-16,0,1,0,1,3,3
177,94,0,1,0,0,-1.2094406490115e-15,3.25145437716043e-16,0,1,0,1,3,3
178,94,0,1,0,0,-5.26859482051804,3.16115689231083,0,1,0,1,3,3
179,94,0,1,0,0,4.00230254150914e-16,5.13801240666097e-15,0,1,0,1,3,3
